,Main_task
0,"• GCP 클라우드 아키텍처 설계 및 기술 컨설팅 수행
• 고객사 클라우드 마이그레이션 전략 수립 및 기술 지원
• Generative AI(생성형 AI) 솔루션 설계 및 구현 지원(Vertex AI, Gemini 등)
• 제안서 작성, 기술 검증(PoC), 고객 프레젠테이션 수행
• 고객 요구사항 분석 및 최적의 클라우드 솔루션 제안
• GCP 신규 서비스 및 기술 동향 연구/전파

* 경력 및 역량에 따라 업무 범위 상이"
1,"[다음 업무를 통해 목표를 달성하고 성장합니다]
• 영상처리, 동영상 압축 알고리즘 및 성능 분석"
2,"[이런분과 함께하고 싶어요]
• 영상처리, 동영상 압축 등 멀티미디어 처리 기술개발"
3,"[검색]
• 엘라스틱 검색 시스템 구축 및 기술 지원
• 검색 데이터 파이프라인 개발 및 유지보수
• 검색 쿼리 개발 및 튜닝
• 검색 데이터 분석 및 정제
• RAG 시스템 구축
• 벡터 데이터를 이용한 유사도 높은 의미 검색 결과 도출
• 사용자 교육

[옵저버빌리티]
• 엘라스틱 관측 시스템 구축 및 기술 지원
• 관측 대상 데이터 파이프라인 개발 및 유지보수
• 수집 데이터 분석 및 정제
• 데이터 시각화 대시보드 개발
• 이상 탐지를 위한 Machine Learning Job 개발
• 이상 탐지 Alert 개발 및 시스템 연동
• 사용자 교육"
4,"• CTR, CVR 예측 머신러닝 모델링 (counterfactual learning, online learning 등 포함)
• Feature 엔지니어링 (LLM 등을 이용한 text feature 가공 포함)
• 모델 경량화 및 서빙 최적화
• ML 데이터 엔지니어링 전반"
5,"• 생체 신호 기반 딥러닝/머신러닝 모델 개발
• 내부 토론식 세미나를 통해 문제점 및 해결방안 도출
• 데이터 전처리, 통계 기반 데이터 분석"
6,"[기술스택]
-Language - Python
-Framework - Pytorch, Tensorflow, Keras, onnx, Langchain, Langgraph
-Infra - AWS, GCP, Kubernetes, Docker, Github

-Diffusion 기반 generative AI model 을 통한 Image, Video 생성 모델 서비스 구축
-공개된 상업용 AI API 활용을 통한 서비스 구현
-새로운 AI trend 에 대한 연구 및 활용"
7,"• 비디오 생성 모델 개발 (video generation / frame interpolation)
• 모델 경량화 및 인퍼런스 가속화
• 대규모 데이터셋 수집, 정제, 평가"
8,"SwiftMR 제품 코드 중 모델 알고리즘 파트 코드 관리
SwiftMR Research팀 최전선에서 실제 고객에게 제품의 형태로 배포될 python 코드 유지 보수 및 업데이트
세계 각지 고객 요청에 대응해 샘플 다이콤 영상 제품 모델 처리 및 결과물 소통"
9,"• 크라우드 펀딩 플랫폼을 위한 다양한 서비스에 적용되는 AI모델 설계
• 서비스 데이터를 기반으로 자동화 파이프라인 설계 및 개발
• Endpoint API 개발 및 서비스 적용 및 개선"
10,"[Job Description]

• 데이터 분석가와 Business 컨설턴트로 이루어진 팀 단위 프로젝트 수행
• 고객/매출 및 제조/공정 등 고객사 현황 분석을 통한 인사이트 도출 및 문제정의
• Business 및 데이터 분석 인사이트 기반 문제 해결 (프로세스 개선, 경영진/현업 의사결정 지원)
• 분석 결과 활용, 고객 업무 Digital Transformation 위한 Process Re-design
• 고객사 업무 적용 위한 분석 모델 설계 및 개발"
11,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다"
12,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다"
13,"1.딥러닝 모델 연구 개발
- 얼굴 및 몸 영상 생성 및 합성 (2D 또는 3D)
- 음성 합성 (TTS) 및 음성 변환 (VST)
- 딥페이크 탐지 (영상 및 음성)
- 자연어 처리 (LLM, G2P 등)
2.영상, 음성, 텍스트 처리 및 분석 기술 개발
3.딥러닝 모델 최적화 및 서버 개발 (MLOps)"
