,Preferred_Qualifications
0,"• Generative AI 프로젝트 경험자
• AI/ML 프로젝트 수행 경험 또는 관련 지식 보유자
• GCP 관련 자격증 보유 (Professiona lCloud Architect, Data Engineer, ML Engineer 등)
• 영어 커뮤니케이션 가능자
• 클라우드 플랫폼 설계/운영 경험 3년 이상자"
1,"[이런분이라면 더욱 환영해요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능"
2,"[더 몰입하실 수 있도록 도와드려요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능"
3,"[공통]
• Elastic Stack 기술 경험 (Elasticsearch, Kibana, Logstash)
• Kafka, Kubernetes 및 클라우드 구축 경험
• 검색/보안/관제 솔루션 엔지니어링 경력
• 대규모 데이터 파이프라인 구축 및 운영 경험
• 검색 기능 연동을 위한 개발 경험(Java, Python)
• 보안 관련 자격증 소지자
• 머신러닝 기반 보안 분석 및 이벤트 탐지 경험"
4,"• 머신러닝 유관 분야 박사 학위 소지자
• WSDM, KDD, RecSys, ICDM 등 추천 시스템 분야 Top-tier conference 또는 저널 발표 실적을 보유하신 분
• 실제 환경에서 모델 성능 개선을 통해 경영 지표를 개선해 본 경험이 있으신 분
• AWS, Spark, Ray, FastAPI, Kubernetes 등 엔지니어링 관련 기술 스택을 보유하신 분"
5,"• 디지털 신호처리 알고리즘 개발 경험자
• 통계학과, 응용수학과, 산업공학, 전자공학, 컴퓨터공학 등 관련 분야 전공자
• 딥러닝 논문을 코드로 구현하고 실험/분석 역량 보유자
• 의료, 보건 헬스케어 관련 기초 지식 보유 또는 관련 프로젝트 경험자"
6,"-AI / ML 조직 리딩 경험
-DevOps 엔지니어링 경험
-AI / ML 을 활용한 서비스 구축 및 운영 경험
-AI / ML / 데이터사이언스 분야 석,박사 학위자 또는 그에 준하는 경력자
-비지니스 레벨의 일본어, 영어 구사가 가능한 분"
7,"• 이미지/비디오 처리 관련 연구 경험
• 대규모 데이터셋 처리 및 분석 경험
• 논문 작성 및 발표 경험
• 팀 협업 및 커뮤니케이션 능력"
8,"Python 코드 관리 경험
수학과 친하신 분
의료 AI분야에 관심이 있으신 분"
9,"• AWS 의 Serverless (람다) 혹은 k8s 환경에서의 서비스 오픈 경험
• Snowflake 등 빅데이터의 추출과 전처리를 활용하여 데이터 분석과 개선방향에 대한 리포트 경험
• 오픈소스 LLM 모델 개발 경험"
10,"• 제조업 및 SCM 오퍼레이션 관련 경험/ 이해 역량 보유한 분
• 통계, ML/DL 이해 및 모델 설계 경험
• Microsoft office 활용 역량 보유한 분"
11,"• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시"
12,"• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시"
13,"관련 분야 성과 (논문, 특허, 서비스 출시 등)"
14,"• 대규모 데이터 관리 및 전처리 경험
• VLM(Vision Language Model) 개발 경험
• 국제/국내 인공지능 대회 수상 이력
• 주요 학술대회에 논문 게재 이력"
15,"• Top Tier 논문
• 추천서
• 신약개발 관련 경력"
16,"• 관련 경험 2년 이상
• 관련 전공 석사 이상
• 뛰어난 커뮤니케이션"
17,"• LLM(대규모 언어 모델, 예: GPT, BERT 등) 관련 프로젝트 경험
• AI 모델 학습 데이터 생성 및 처리 경험
• Python 또는 기타 프로그래밍 언어를 활용한 AI 모델 개발 경험
• AI/ML 워크플로우 도구(Azure ML, TensorFlow, PyTorch 등) 사용 경험
• 데이터 처리 및 분석 도구 활용 능력(Pandas, NumPy 등)
• A/B 테스트 설계 및 결과 분석 경험
• 클라우드 기반 AI 서비스(AWS SageMaker, GCP AI 등) 활용 경험
• 스타트업 또는 AI 관련 프로젝트 참여 경험"
18,
19,"[우대사항]

강화학습/시뮬레이션 전공 박사 학위를 보유하신 분
로봇, 설비 자율운전을 위한 강화학습/시뮬레이션 경험이 있으신 분
AI, Robotics 관련 Top SCI급 저널 기고, 특허 보유하신 분"
20,"• 딥러닝 모델링 경험이 있는 분
• AI 분야의 다양한 경험 (자연어처리, 이미지, 음성)을 가진 분
• AI 주제의 논문을 작성해보신 분"
21,"• 딥러닝 알고리즘 이해
• CPU Architecture, GPU Architecture 이해"
22,"• MLops 관련 개발 경험
• NVIDIA Framework (CUDA, JetPack, Tensor) 관련 작업 경험
• 데이터 및 GPU 서버를 활용한 AI 모델 서빙 경험
• (optional) 컴퓨터 비전 문제 해결 경험
- 물체 인식 (Detection / Classification / Segmentation)
- Anomaly Classification / Segmentation
• C++ 기반 프로젝트 경험
• 카메라 하드웨어 관련 활용 경험"
23,"• 디스플레이 검사장비(OLED, Micro-LED) 개발 경험자
• 반도체 계측장비 회로개발 경험자
• FPGA 설계 경험자"
