title,location,Main_task,qualifications,Preferred_Qualifications,skills,url
[신입] 머신러닝 엔지니어 (LLM),서울 서초구,"• 데이터를 분석하고 풀어야 할 문제를 정의합니다.
• 동료들과 더 나은 LLM 기술에 대해 논의하고 연구합니다.
• LLM 기반으로한 서비스를 개발하고 적용합니다.
• RAG, Fine tuning 등을 이용해 LLM 모델의 성능을 향상 시킵니다.
• LLM 실적용 성공 사례를 지속적으로 늘려나가고 전체 수행 과정 효율을 개선할 수 있는 체계를 함께 고민하여 반영합니다.","• LLM(Fine tuning 포함) 또는 NLP 모델의 학습 경험이 있는 분
• LLM 또는 NLP 관련 논문 작성 경험이 있는 분
• Python을 활용한 프로그래밍에 능숙한 분
• 다양한 라이브러리와 프레임워크를 활용한 문제 해결 경험이 있는 분","• 다양한 분야의 데이터를 다룬 경험이 있는 분
• AI Agent 활용 경험이 있거나 이해가 높은 분
• 코드리뷰를 주고 받으며 협업한 경험이 있는 분",[],https://www.wanted.co.kr/wd/264181
[카카오계열사]Prompt Engineer,서울 강남구,"• LLM 프롬프트 최적화 및 엔지니어링: 다양한 LLM(GPT, Claude, Gemini 등)을 활용하여 최적의 프롬프트를 설계하고 성능을 개선
• LLM 기반 서비스 개발 및 고도화: RAG(Retrieval-Augmented Generation), Fine-tuning 등을 활용하여 AI 서비스를 개발 및 최적화
• 신규 AI 서비스 기획 및 개발: LLM을 활용한 서비스 및 비즈니스 기회 발굴
• AI 자동화 및 서비스 개선: LLM을 활용하여 자동화 및 AI 기반 서비스의 효율성 극대화","• 해외여행 결격사유가 없는 분
• LLM 및 NLP 실무 경험: LLM 또는 자연어 처리(NLP)를 활용한 서비스 개발 및 실제 적용 경험
• 프롬프트 엔지니어링 및 LLM 구조 이해: 대화형 LLM 모델의 아키텍처 및 최적화에 대한 이해와 실무 경험
• Python 및 API 활용 능력: Python과 REST API 등을 이용한 LLM 연동 및 서비스 개발 경험","ML 기반 서비스 개발 또는 백엔드 개발 경험
• ML 기반 서비스 개발 경험: 머신러닝 또는 LLM 기반 서비스를 기획, 개발, 운영한 경험
• 백엔드 개발 경험: AI 모델 서빙 및 API 설계를 포함한 백엔드 시스템 개발 경험
LLM 모델 최적화 및 응용 경험
• LLM 기반 서비스의 전 과정 경험: 기획 구현 성능 평가 개선까지 진행한 경험
• Fine-tuning 경험: BERT, LLAMA 등 오픈소스 LLM을 목적에 맞게 Fine-tuning하여 최적화한 경험
• RAG 기반 서비스 개발 경험: RAG(Retrieval-Augmented Generation)를 활용한 정보 검색 및 생성 시스템 구축 경험
멀티모달 및 에이전트 활용 경험
• Agent 기반 AI 서비스 개발 경험: LangChain 등 프레임워크를 활용한 LLM 기반 Agent 개발 경험
• 멀티모달 AI 모델 활용 경험: 텍스트/음성/이미지 데이터를 통합한 멀티모달 AI 모델 개발 경험
클라우드 및 운영 경험
• AWS 등 클라우드 환경 서비스 개발 경험","['Python', 'NLP']",https://www.wanted.co.kr/wd/264121
Google Cloud Platform Solutions Engineer,서울 강남구,"• GCP 클라우드 아키텍처 설계 및 기술 컨설팅 수행
• 고객사 클라우드 마이그레이션 전략 수립 및 기술 지원
• Generative AI(생성형 AI) 솔루션 설계 및 구현 지원(Vertex AI, Gemini 등)
• 제안서 작성, 기술 검증(PoC), 고객 프레젠테이션 수행
• 고객 요구사항 분석 및 최적의 클라우드 솔루션 제안
• GCP 신규 서비스 및 기술 동향 연구/전파

* 경력 및 역량에 따라 업무 범위 상이","• 클라우드 환경에서의 프로젝트 경험 보유 (토이 프로젝트 포함)
• Generative AI(생성형 AI) 서비스와 관련된 기본 지식
• Python 개발 능력 보유
• 원활한 커뮤니케이션 및 문서 작성 능력
• 최신 기술 학습과 실무 적용에 적극적인 분","• Generative AI 프로젝트 경험자
• AI/ML 프로젝트 수행 경험 또는 관련 지식 보유자
• GCP 관련 자격증 보유 (Professiona lCloud Architect, Data Engineer, ML Engineer 등)
• 영어 커뮤니케이션 가능자
• 클라우드 플랫폼 설계/운영 경험 3년 이상자",[],https://www.wanted.co.kr/wd/263995
코덱SW엔지니어 (화질분석/신입),서울 강남구,"[다음 업무를 통해 목표를 달성하고 성장합니다]
• 영상처리, 동영상 압축 알고리즘 및 성능 분석","[이런분과 함께하고 싶어요]
• 전자, 컴퓨터공학 학사 이상
• C, Python 프로그래밍 능력
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분

자격 요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지 말고 지원해주세요!","[이런분이라면 더욱 환영해요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능","['Linux', 'Java', 'Python', 'C', 'C++']",https://www.wanted.co.kr/wd/174091
코덱SW엔지니어 (알고리즘개발/신입),서울 강남구,"[이런분과 함께하고 싶어요]
• 영상처리, 동영상 압축 등 멀티미디어 처리 기술개발","[이런분이라면 더욱 환영해요]
• 전자, 컴퓨터공학 학사 이상
• C/C++ 능숙
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분","[더 몰입하실 수 있도록 도와드려요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능","['Linux', 'Java', 'Python', 'C', 'C++']",https://www.wanted.co.kr/wd/174088
소프트웨어 엔지니어,서울 송파구,"[검색]
• 엘라스틱 검색 시스템 구축 및 기술 지원
• 검색 데이터 파이프라인 개발 및 유지보수
• 검색 쿼리 개발 및 튜닝
• 검색 데이터 분석 및 정제
• RAG 시스템 구축
• 벡터 데이터를 이용한 유사도 높은 의미 검색 결과 도출
• 사용자 교육

[옵저버빌리티]
• 엘라스틱 관측 시스템 구축 및 기술 지원
• 관측 대상 데이터 파이프라인 개발 및 유지보수
• 수집 데이터 분석 및 정제
• 데이터 시각화 대시보드 개발
• 이상 탐지를 위한 Machine Learning Job 개발
• 이상 탐지 Alert 개발 및 시스템 연동
• 사용자 교육","[공통]
• 다양한 데이터 분석 경험
• 협업 및 문제 해결 능력

[검색]
• 검색 시스템 구축 및 운영 경험 (Elastic, 다이퀘스트, 코난, 와이즈넛 등)
• 클라우드 환경(CSP, K8S, OC 등)구축 및 운영 경험

[옵저버빌리티]
• 관제 시스템 구축 및 운영 경험 (Elastic, DataDog, Prometheus 등)
• 다양한 시각화 툴을 통한 대시보드 개발 경험 (Kibana, Tableau, Grafana 등)","[공통]
• Elastic Stack 기술 경험 (Elasticsearch, Kibana, Logstash)
• Kafka, Kubernetes 및 클라우드 구축 경험
• 검색/보안/관제 솔루션 엔지니어링 경력
• 대규모 데이터 파이프라인 구축 및 운영 경험
• 검색 기능 연동을 위한 개발 경험(Java, Python)
• 보안 관련 자격증 소지자
• 머신러닝 기반 보안 분석 및 이벤트 탐지 경험","['Linux', 'ElasticSearch', 'Kubernetes']",https://www.wanted.co.kr/wd/263882
Jr. ML Engineer(일반/전문연구요원),서울 강남구,"• CTR, CVR 예측 머신러닝 모델링 (counterfactual learning, online learning 등 포함)
• Feature 엔지니어링 (LLM 등을 이용한 text feature 가공 포함)
• 모델 경량화 및 서빙 최적화
• ML 데이터 엔지니어링 전반","• 컴퓨터 공학, 수학, 통계학, 산업공학 등 머신러닝 유관 분야 석사 이상의 학위 소지자
• 유관 분야 학사 이상의 학위 소지자이면서, 관련 분야에 논문을 발표한 경험이 있으신 분
• 기초 통계, 전통적인 머신러닝, 딥러닝 이론들에 대해 탄탄한 지식을 보유하신 분
• Python에 능숙하시고, Pytorch 또는 Tensorflow 중 하나 이상에 능숙하신 분

• 현재는 리서치에 강점을 가진 분들을 우선하여 채용하고 있습니다. 지원에 참고해 주시면 감사하겠습니다.","• 머신러닝 유관 분야 박사 학위 소지자
• WSDM, KDD, RecSys, ICDM 등 추천 시스템 분야 Top-tier conference 또는 저널 발표 실적을 보유하신 분
• 실제 환경에서 모델 성능 개선을 통해 경영 지표를 개선해 본 경험이 있으신 분
• AWS, Spark, Ray, FastAPI, Kubernetes 등 엔지니어링 관련 기술 스택을 보유하신 분","['Linux', 'Pytorch', 'Spark', 'Python', 'SQL', 'AWS', 'Kubernetes']",https://www.wanted.co.kr/wd/263752
"딥러닝/머신러닝(AI) 개발자 [신입, 전문연구요원(보충역/전직) 가능",경기 성남시,"• 생체 신호 기반 딥러닝/머신러닝 모델 개발
• 내부 토론식 세미나를 통해 문제점 및 해결방안 도출
• 데이터 전처리, 통계 기반 데이터 분석","* 지원 시 포트폴리오 제출 필수 (연구 자료, 논문 자료 등)
• 딥러닝/머신러닝에 대한 개념적인 이해 및 모델링 경험
• 논문 기반 분석 및 모델링 능력을 보유하신 분
• Python 프로그램 개발 능력
• Tensorflow/PyTorch 등 딥러닝 프레임워크 개발 경험자
• 데이터에 대한 통계학적 이해 및 분석 경험

** 해당 포지션은 전문연구요원 2025년 현역 신규편입은 불가합니다.","• 디지털 신호처리 알고리즘 개발 경험자
• 통계학과, 응용수학과, 산업공학, 전자공학, 컴퓨터공학 등 관련 분야 전공자
• 딥러닝 논문을 코드로 구현하고 실험/분석 역량 보유자
• 의료, 보건 헬스케어 관련 기초 지식 보유 또는 관련 프로젝트 경험자","['Git', 'Android', 'iOS', 'MySQL', 'Pytorch', 'React', 'Tensorflow', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Swift', '딥 러닝', 'AWS', '신호 처리', '인공 지능', 'JPA', 'Spring Boot', 'ML']",https://www.wanted.co.kr/wd/188191
AI Engineer (병특 전문연구요원가능),서울 종로구,"[기술스택]
-Language - Python
-Framework - Pytorch, Tensorflow, Keras, onnx, Langchain, Langgraph
-Infra - AWS, GCP, Kubernetes, Docker, Github

-Diffusion 기반 generative AI model 을 통한 Image, Video 생성 모델 서비스 구축
-공개된 상업용 AI API 활용을 통한 서비스 구현
-새로운 AI trend 에 대한 연구 및 활용","컴퓨터과학/데이터사이언스 전공자 또는 AI/ML 관련 전문 지식 보유자
* 신입/전문연구요원은 석사 이상 필수
-Python, Pytorch, Tensorflow, Keras 등 AI 개발 도구 활용 경험
-아래 조건 중 1개 이상 해당하는 분
* Diffusion 기반 generative AI model 을 사용한 서비스를 구축해 보았거나 하실 수 있는 분
* 그 외에 다양한 AI/ML 분야에 3년이상의 경험이 있으신분","-AI / ML 조직 리딩 경험
-DevOps 엔지니어링 경험
-AI / ML 을 활용한 서비스 구축 및 운영 경험
-AI / ML / 데이터사이언스 분야 석,박사 학위자 또는 그에 준하는 경력자
-비지니스 레벨의 일본어, 영어 구사가 가능한 분","['Github', 'Pytorch', 'Tensorflow', 'Python', 'AWS', 'Docker', 'Kubernetes']",https://www.wanted.co.kr/wd/255120
[이미지/비디오 생성형 AI] Research Engineer (전문연구요원),서울 강남구,"• 비디오 생성 모델 개발 (video generation / frame interpolation)
• 모델 경량화 및 인퍼런스 가속화
• 대규모 데이터셋 수집, 정제, 평가","• 컴퓨터 공학, 전산학 또는 관련 분야 석사 이상 학위 소지자
• AI 및 머신러닝 관련 프로젝트 경험
• 문제 해결 능력 및 창의적인 사고","• 이미지/비디오 처리 관련 연구 경험
• 대규모 데이터셋 처리 및 분석 경험
• 논문 작성 및 발표 경험
• 팀 협업 및 커뮤니케이션 능력",[],https://www.wanted.co.kr/wd/263463
