title,location,Main_task,qualifications,Preferred_Qualifications,skils,url
"딥러닝/머신러닝(AI) 개발자 [신입, 전문연구요원(보충역/전직) 가능",경기 성남시,"• 생체 신호 기반 딥러닝/머신러닝 모델 개발
• 내부 토론식 세미나를 통해 문제점 및 해결방안 도출
• 데이터 전처리, 통계 기반 데이터 분석","* 지원 시 포트폴리오 제출 필수 (연구 자료, 논문 자료 등)
• 딥러닝/머신러닝에 대한 개념적인 이해 및 모델링 경험
• 논문 기반 분석 및 모델링 능력을 보유하신 분
• Python 프로그램 개발 능력
• Tensorflow/PyTorch 등 딥러닝 프레임워크 개발 경험자
• 데이터에 대한 통계학적 이해 및 분석 경험

** 해당 포지션은 전문연구요원 2025년 현역 신규편입은 불가합니다.","• 디지털 신호처리 알고리즘 개발 경험자
• 통계학과, 응용수학과, 산업공학, 전자공학, 컴퓨터공학 등 관련 분야 전공자
• 딥러닝 논문을 코드로 구현하고 실험/분석 역량 보유자
• 의료, 보건 헬스케어 관련 기초 지식 보유 또는 관련 프로젝트 경험자","['Git', 'Android', 'iOS', 'MySQL', 'Pytorch', 'React', 'Tensorflow', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Swift', '딥 러닝', 'AWS']",https://www.wanted.co.kr/wd/188191
AI Engineer (병특 전문연구요원가능),서울 종로구,"[기술스택]
-Language - Python
-Framework - Pytorch, Tensorflow, Keras, onnx, Langchain, Langgraph
-Infra - AWS, GCP, Kubernetes, Docker, Github

-Diffusion 기반 generative AI model 을 통한 Image, Video 생성 모델 서비스 구축
-공개된 상업용 AI API 활용을 통한 서비스 구현
-새로운 AI trend 에 대한 연구 및 활용","컴퓨터과학/데이터사이언스 전공자 또는 AI/ML 관련 전문 지식 보유자
* 신입/전문연구요원은 석사 이상 필수
-Python, Pytorch, Tensorflow, Keras 등 AI 개발 도구 활용 경험
-아래 조건 중 1개 이상 해당하는 분
* Diffusion 기반 generative AI model 을 사용한 서비스를 구축해 보았거나 하실 수 있는 분
* 그 외에 다양한 AI/ML 분야에 3년이상의 경험이 있으신분","-AI / ML 조직 리딩 경험
-DevOps 엔지니어링 경험
-AI / ML 을 활용한 서비스 구축 및 운영 경험
-AI / ML / 데이터사이언스 분야 석,박사 학위자 또는 그에 준하는 경력자
-비지니스 레벨의 일본어, 영어 구사가 가능한 분","['Github', 'Pytorch', 'Tensorflow', 'Python', 'AWS', 'Docker', 'Kubernetes']",https://www.wanted.co.kr/wd/255120
[이미지/비디오 생성형 AI] Research Engineer (전문연구요원),서울 강남구,"• 비디오 생성 모델 개발 (video generation / frame interpolation)
• 모델 경량화 및 인퍼런스 가속화
• 대규모 데이터셋 수집, 정제, 평가","• 컴퓨터 공학, 전산학 또는 관련 분야 석사 이상 학위 소지자
• AI 및 머신러닝 관련 프로젝트 경험
• 문제 해결 능력 및 창의적인 사고","• 이미지/비디오 처리 관련 연구 경험
• 대규모 데이터셋 처리 및 분석 경험
• 논문 작성 및 발표 경험
• 팀 협업 및 커뮤니케이션 능력",[],https://www.wanted.co.kr/wd/263463
Research Scientist,서울 강남구,"SwiftMR 제품 코드 중 모델 알고리즘 파트 코드 관리
SwiftMR Research팀 최전선에서 실제 고객에게 제품의 형태로 배포될 python 코드 유지 보수 및 업데이트
세계 각지 고객 요청에 대응해 샘플 다이콤 영상 제품 모델 처리 및 결과물 소통","업무 맥락 파악 및 소통 능력 (예외 상황 발생 시 빠른 대처 및 투명한 소통, 담당 업무의 필요성에 대한 깊은 이해)
업무 완성도에 대한 높은 기준 (마감 시간 및 꼼꼼함)
수학적 사고력 (수식으로 된 코드를 읽고 이해할 수 있는 능력)","Python 코드 관리 경험
수학과 친하신 분
의료 AI분야에 관심이 있으신 분",['Python'],https://www.wanted.co.kr/wd/258011
전문연구요원_AI 개발자 (병역 특례),경기 성남시,"• 크라우드 펀딩 플랫폼을 위한 다양한 서비스에 적용되는 AI모델 설계
• 서비스 데이터를 기반으로 자동화 파이프라인 설계 및 개발
• Endpoint API 개발 및 서비스 적용 및 개선","• 공학 석사 이상의 학위를 소지하고 계신 분
• ai 를 활용한 실험 논문을 소지하고 계신 분
• 생성형 AI모델(LLM)을 활용한 응용 프로젝트 수행 경험
• Elasticsearch, LangChain 등 RAG (검색증강생성) 개발, Agent 개발 연구 또는 관련 프로젝트 수행 경험
• 모델 검증을 위한 대규모 데이터셋 처리 및 최적화 경험
• SQL 과 Python 사용이 능숙하신 분","• AWS 의 Serverless (람다) 혹은 k8s 환경에서의 서비스 오픈 경험
• Snowflake 등 빅데이터의 추출과 전처리를 활용하여 데이터 분석과 개선방향에 대한 리포트 경험
• 오픈소스 LLM 모델 개발 경험","['Python', 'SQL']",https://www.wanted.co.kr/wd/263224
Operation / Digital Consultant,서울 강남구,"[Job Description]

• 데이터 분석가와 Business 컨설턴트로 이루어진 팀 단위 프로젝트 수행
• 고객/매출 및 제조/공정 등 고객사 현황 분석을 통한 인사이트 도출 및 문제정의
• Business 및 데이터 분석 인사이트 기반 문제 해결 (프로세스 개선, 경영진/현업 의사결정 지원)
• 분석 결과 활용, 고객 업무 Digital Transformation 위한 Process Re-design
• 고객사 업무 적용 위한 분석 모델 설계 및 개발","• Python 기반 머신러닝 / 딥러닝 모델 개발 가능한 분
• SQL / Phython 기반 데이터 모델링 / 엔지니어링 가능한 분
• Cloud 환경 (AWS, MS AZURE 등) 활용이 원활한 분
• 논리적 사고 및 분석력 보유한 분
• Full-time 근무 가능한 분
• 지방 및 해외 출장 가능한 분","• 제조업 및 SCM 오퍼레이션 관련 경험/ 이해 역량 보유한 분
• 통계, ML/DL 이해 및 모델 설계 경험
• Microsoft office 활용 역량 보유한 분","['MySQL', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr/wd/178246
"ML engineer/ AI researcher (전문연구요원 - 보충역, 전직자)",서울 강남구,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다","• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력","• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시","['Github', 'Python', 'AWS']",https://www.wanted.co.kr/wd/262796
ML engineer/ AI researcher (Junior),서울 강남구,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다","• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력","• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시","['Github', 'Python', 'AWS']",https://www.wanted.co.kr/wd/262798
딥러닝 연구원 / 엔지니어 (전문연구요원 가능),서울 강남구,"1.딥러닝 모델 연구 개발
- 얼굴 및 몸 영상 생성 및 합성 (2D 또는 3D)
- 음성 합성 (TTS) 및 음성 변환 (VST)
- 딥페이크 탐지 (영상 및 음성)
- 자연어 처리 (LLM, G2P 등)
2.영상, 음성, 텍스트 처리 및 분석 기술 개발
3.딥러닝 모델 최적화 및 서버 개발 (MLOps)","관련 분야 전공자 및 경력자
관련 알고리듬 및 라이브러리 전문가
석사 이상 학위 소지자 (전문연구요원)","관련 분야 성과 (논문, 특허, 서비스 출시 등)",[],https://www.wanted.co.kr/wd/251783
[AI연구소] AI연구원 - Computer Vision AI,서울 구로구,"• 컴퓨터 비전 관련 연구 및 모델 개발
• 영상 처리 알고리즘 개발
• 관련 학회 논문 제출 및 특허 작성","• AI 관련 분야 석사 학위 이상
• Pytorch, Tensorflow등 주요 Deep Learning framework 활용 능력
• Linux/Shell, docker/Container 활용 능력
• 형상관리 툴 활용 능력
• 의사 소통 능력","• 대규모 데이터 관리 및 전처리 경험
• VLM(Vision Language Model) 개발 경험
• 국제/국내 인공지능 대회 수상 이력
• 주요 학술대회에 논문 게재 이력","['Linux', 'Pytorch', 'Tensorflow', 'Shell', 'Docker']",https://www.wanted.co.kr/wd/236095
